file,folder,set,cycle,slides,mtime,bytes,critical_aspects,n_aspects,core_questions_by_aspect,core_q_complete_all_aspects,ca_question_count,continuity_question,stock_and_flow,concept_bank,teacher_prep,day_dividers,response_slides,response_slides_with_prompt,all_response_notes_ok,response_missing_prompt_slides,links_slide,links_slide_urls,links_total_unique,links_copy,links_non_copy,links_gslides_non_copy,links_non_copy_sample,dims,dims_ok,fonts_ok,fonts_found,fonts_offending,colors_ok,colors_offending,format_ok,removed_slide_types,missing_required,advisory1_pass,advisory1_verdict,ca_question_text_verbatim,advisory2_structure,advisory2_detail,slide_types_ordered,teacher_note_slide,teacher_note_declares,teacher_note_declares_count,visibility_rung_declared,visibility_rung_text,simultaneity_declared,what_if_present,what_if_individual_written,concept_bank_relates,forbidden_vocab_beat,ngss_codes
▶ LIVE — Cycle 01 — Lab Safety (VT).pptx,Cycle 01 — Course Launch & Lab Safety (Unit 1),LIVE export,1,25,2026-08-26 14:33:55,679343,what a safety symbol is really telling you,1,"what a safety symbol is really telling you: 4/5 [Critical Aspect question, Build a Rule, Pattern Break, 3-Tier Question]",False,1,0,0,0,0,0,0,0,False,,0,0,0,0,0,0,,9144000x6858000,True,False,Arial; Calibri; Material Icons; Overlock,Calibri; Material Icons; Overlock,False,000000; 002060; 004D40; 00695C; 17365D; 1D1B10; 1D2939; 1E1C11; 4A5568; 4B5563; 7030A0; 999999; B2DFDB; D0D5DD; D68910; D9383A; E2E8F0; E4E7EC; E6F4F1; F4B400; F9F6FC; FC7876; FFC000,False,,Teacher Prep; Concept Bank; Links slide; Response slides; Day divider,True,S12: comparison,"S12: ""A safety symbol is more than a warning picture. What TWO things is every safety symbol trying to tell you?""",none,,Teacher reference > Bellringer > Content/Explanation > Content/Explanation > Content/Explanation > Content/Explanation > Content/Explanation > Content/Explanation > Content/Explanation > Content/Explanation > Content/Explanation > Critical Aspect question > Explanation > Build a Rule > Pattern Break > 3-Tier Question > Content/Explanation > Content/Explanation > Content/Explanation > Content/Explanation > Content/Explanation > Content/Explanation > Content/Explanation > What if > Content/Explanation,absent,,0/7,no,,none,yes,unclear,absent,clean,
▶ LIVE — Cycle01_Day 1.pptx,Cycle 01 — Course Launch & Lab Safety (Unit 1),LIVE export,1,9,2026-08-26 10:25:42,3471995,What makes a science class worth being in,1,What makes a science class worth being in: 1/5 [3-Tier Question],False,0,0,0,0,0,0,0,0,False,,0,0,0,0,0,0,,9144000x6858000,True,False,Arial; Calibri; Inter; Inter ExtraBold; Inter Medium; Inter SemiBold,Calibri; Inter; Inter ExtraBold; Inter Medium; Inter SemiBold,False,000000; 0F766E; 1A202C; 1F2937; 2D3748; 4A5568; 718096; 94A3B8; A0AEC0; BEE3F8; CBD5E1; CCFBF1; D35400; D9A406; E2E8F0; F0FDFA; F7FAFC,False,,Teacher Prep; Concept Bank; Links slide; Response slides; Day divider,False,,,none,,Teacher reference > Content/Explanation > Content/Explanation > 3-Tier Question > Content/Explanation > Content/Explanation > Content/Explanation > Content/Explanation > Content/Explanation,absent,,0/7,no,,none,no,n/a,absent,clean,
▶ LIVE — Cycle 02 — Ecosystems & Feeding Relationships (VT deck).pptx,Cycle 02 — Ecosystems & Feeding Relationships (Unit 1),LIVE export,2,36,2026-08-22 11:44:34,4581469,Energy flow through trophic levels | Symbiosis and species relationships,2,"Energy flow through trophic levels: 5/5 [Critical Aspect question, Contrast Set, Build a Rule, Pattern Break, 3-Tier Question] ;; Symbiosis and species relationships: 5/5 [Critical Aspect question, Contrast Set, Build a Rule, Pattern Break, 3-Tier Question]",True,2,1,1,0,0,3,3,3,True,,1,6,7,0,7,0,https://biomanbio.com/HTML5GamesandLabs/EcoGames/ecology.html ; https://answerable-biology-models.netlify.app/energy.html ; https://drive.google.com/file/d/1Jw2SU5hL2kzdLCNKFo0XxXE8sB6xcbSK/view ; https://www.biointeractive.org/classroom-resources/living-together,9144000x6858000,True,True,Arial,,False,E8EEF2; E8F0F1; EFDF85,False,REMOVED: Then and Now; REMOVED: Turn answer into draft; REMOVED: teacher slide-type list,Teacher Prep; Concept Bank,True,S7: comparison ;; S19: comparison,"S7: ""The energy in your dinner started as sunlight. Grass catches sunlight, a cow eats the grass, you eat the cow. At each step, do you get all of the grass's energy — or something else? Why?"" ;; S19: ""A bee lands on a flower, drinks nectar, and carries pollen to the next flower. A mosquito lands on your arm, drinks your blood, and you itch for days. Both are two species interacting. So what is actually different?""",stock-and-flow model,stock-and-flow model (slide 8),Teacher reference > Day divider > Bellringer > Content/Explanation > Content/Explanation > Content/Explanation > Critical Aspect question > Stock-and-flow model > Contrast Set > Explanation > Build a Rule > Pattern Break > Continuity question > 3-Tier Question > Response slide > Activity > Day divider > Activity > Critical Aspect question > Content/Explanation > Contrast Set > Build a Rule > Pattern Break > 3-Tier Question > Response slide > Activity > Day divider > Response slide (What if) > Optional challenge > Relates to me > REMOVED: Then and Now > Closing checklist > REMOVED: Turn answer into draft > REMOVED: teacher slide-type list > Links slide > Image credits,absent,,0/7,no,,none,yes,yes,absent,slides 34,HS-LS2-1; HS-LS2-2
▶ LIVE — Cycle 02 — Ecosystems & Feeding Relationships (VT deck) — with Concept Bank + slide index.pptx,Cycle 02 — Ecosystems & Feeding Relationships (Unit 1),with-Concept-Bank,2,34,2026-08-29 16:54:30,4552360,Energy flow through trophic levels | Symbiosis and species relationships,2,"Energy flow through trophic levels: 5/5 [Critical Aspect question, Contrast Set, Build a Rule, Pattern Break, 3-Tier Question] ;; Symbiosis and species relationships: 5/5 [Critical Aspect question, Contrast Set, Build a Rule, Pattern Break, 3-Tier Question]",True,2,1,1,1,0,3,3,3,True,,1,6,7,0,7,0,https://biomanbio.com/HTML5GamesandLabs/EcoGames/ecology.html ; https://answerable-biology-models.netlify.app/energy.html ; https://drive.google.com/file/d/1Jw2SU5hL2kzdLCNKFo0XxXE8sB6xcbSK/view ; https://www.biointeractive.org/classroom-resources/living-together,9144000x6858000,True,True,Arial,,False,E8EEF2; E8F0F1; EFDF85,False,,Teacher Prep,True,S7: comparison ;; S19: comparison,"S7: ""The energy in your dinner started as sunlight. Grass catches sunlight, a cow eats the grass, you eat the cow. At each step, do you get all of the grass's energy — or something else? Why?"" ;; S19: ""A bee lands on a flower, drinks nectar, and carries pollen to the next flower. A mosquito lands on your arm, drinks your blood, and you itch for days. Both are two species interacting. So what is actually different?""",stock-and-flow model,stock-and-flow model (slide 8),Teacher reference > Day divider > Bellringer > Content/Explanation > Content/Explanation > Content/Explanation > Critical Aspect question > Stock-and-flow model > Contrast Set > Explanation > Build a Rule > Pattern Break > Continuity question > 3-Tier Question > Response slide > Activity > Day divider > Activity > Critical Aspect question > Content/Explanation > Contrast Set > Build a Rule > Pattern Break > 3-Tier Question > Response slide > Activity > Response slide (What if) > Optional challenge > Relates to me > Concept Bank > Day divider > Pattern Break > Links slide > Image credits,absent,,0/7,no,,none,yes,yes,lists only,clean,HS-LS2-1; HS-LS2-2
▶ LIVE — Cycle 02 — Ecosystems & Feeding Relationships (VT deck) — with Concept Bank.pptx,Cycle 02 — Ecosystems & Feeding Relationships (Unit 1),with-Concept-Bank,2,37,2026-08-29 15:55:27,4580826,Energy flow through trophic levels | Symbiosis and species relationships,2,"Energy flow through trophic levels: 5/5 [Critical Aspect question, Contrast Set, Build a Rule, Pattern Break, 3-Tier Question] ;; Symbiosis and species relationships: 5/5 [Critical Aspect question, Contrast Set, Build a Rule, Pattern Break, 3-Tier Question]",True,2,1,1,1,0,3,3,3,True,,1,6,7,0,7,0,https://biomanbio.com/HTML5GamesandLabs/EcoGames/ecology.html ; https://answerable-biology-models.netlify.app/energy.html ; https://drive.google.com/file/d/1Jw2SU5hL2kzdLCNKFo0XxXE8sB6xcbSK/view ; https://www.biointeractive.org/classroom-resources/living-together,9144000x6858000,True,True,Arial,,False,E8EEF2; E8F0F1; EFDF85,False,REMOVED: Then and Now; REMOVED: Turn answer into draft; REMOVED: teacher slide-type list,Teacher Prep,True,S7: comparison ;; S19: comparison,"S7: ""The energy in your dinner started as sunlight. Grass catches sunlight, a cow eats the grass, you eat the cow. At each step, do you get all of the grass's energy — or something else? Why?"" ;; S19: ""A bee lands on a flower, drinks nectar, and carries pollen to the next flower. A mosquito lands on your arm, drinks your blood, and you itch for days. Both are two species interacting. So what is actually different?""",stock-and-flow model,stock-and-flow model (slide 8),Teacher reference > Day divider > Bellringer > Content/Explanation > Content/Explanation > Content/Explanation > Critical Aspect question > Stock-and-flow model > Contrast Set > Explanation > Build a Rule > Pattern Break > Continuity question > 3-Tier Question > Response slide > Activity > Day divider > Activity > Critical Aspect question > Content/Explanation > Contrast Set > Build a Rule > Pattern Break > 3-Tier Question > Response slide > Activity > Concept Bank > Day divider > Response slide (What if) > Optional challenge > Relates to me > REMOVED: Then and Now > Closing checklist > REMOVED: Turn answer into draft > REMOVED: teacher slide-type list > Links slide > Image credits,absent,,0/7,no,,none,yes,yes,lists only,slides 35,HS-LS2-1; HS-LS2-2
▶ LIVE — Cycle 03 — Energy Flow & Trophic Pyramids.pptx,Cycle 03 — Energy Flow & Trophic Pyramids (Unit 1),LIVE export,3,32,2026-08-22 11:37:50,3036879,Producers are the only entry point for energy | Only ~10% of energy passes to the next level,2,"Producers are the only entry point for energy: 5/5 [Critical Aspect question, Contrast Set, Build a Rule, Pattern Break, 3-Tier Question] ;; Only ~10% of energy passes to the next level: 5/5 [Critical Aspect question, Contrast Set, Build a Rule, Pattern Break, 3-Tier Question]",True,2,0,1,0,1,3,3,3,True,,1,5,11,0,11,0,about:blank ; https://www.youtube.com/watch?v=-oVavgmveyY ; https://www.youtube.com/watch?v=v6ubvEJ3KGM ; https://www.biointeractive.org/classroom-resources/nutrient-cycling-serengeti,9144000x6858000,True,False,Arial; Inter; Inter ExtraBold; Inter Medium; Inter SemiBold,Inter; Inter ExtraBold; Inter Medium; Inter SemiBold,False,333333; 555555; E0EBF0; EFDF85; F0F7F7,False,,Concept Bank,False,S8: NO CONTRAST DEVICE ;; S19: NO CONTRAST DEVICE,"S8: ""In any food chain, some living things can make their own food and some cannot. Which ones are the doorway that lets the sun's energy into the whole chain?"" ;; S19: ""When one animal eats another, only a small part of that food's energy gets stored in the eater's body. What happens to all the rest of it?""",stock-and-flow model,stock-and-flow model (slide 9),Teacher reference > Teacher Prep > Day divider > Bellringer > Content/Explanation > Content/Explanation > Content/Explanation > Critical Aspect question > Stock-and-flow model > Contrast Set > Explanation > Build a Rule > Pattern Break > 3-Tier Question > Response slide > Activity > Activity > Day divider > Critical Aspect question > Contrast Set > Build a Rule > Pattern Break > 3-Tier Question > Response slide > Activity > Response slide (What if) > Optional challenge > Relates to me > Day divider > Closing checklist > Links slide > Image credits,absent,,0/7,no,,none,yes,yes,absent,clean,HS-LS2-3; HS-LS2-4
▶ LIVE — Cycle 03 — Energy Flow & Trophic Pyramids — with Concept Bank.pptx,Cycle 03 — Energy Flow & Trophic Pyramids (Unit 1),with-Concept-Bank,3,33,2026-08-29 15:55:28,3036651,Producers are the only entry point for energy | Only ~10% of energy passes to the next level,2,"Producers are the only entry point for energy: 5/5 [Critical Aspect question, Contrast Set, Build a Rule, Pattern Break, 3-Tier Question] ;; Only ~10% of energy passes to the next level: 5/5 [Critical Aspect question, Contrast Set, Build a Rule, Pattern Break, 3-Tier Question]",True,2,0,1,1,1,3,3,3,True,,1,5,11,0,11,0,about:blank ; https://www.youtube.com/watch?v=-oVavgmveyY ; https://www.youtube.com/watch?v=v6ubvEJ3KGM ; https://www.biointeractive.org/classroom-resources/nutrient-cycling-serengeti,9144000x6858000,True,False,Arial; Inter; Inter ExtraBold; Inter Medium; Inter SemiBold,Inter; Inter ExtraBold; Inter Medium; Inter SemiBold,False,333333; 555555; E0EBF0; EFDF85; F0F7F7,False,,,False,S8: NO CONTRAST DEVICE ;; S19: NO CONTRAST DEVICE,"S8: ""In any food chain, some living things can make their own food and some cannot. Which ones are the doorway that lets the sun's energy into the whole chain?"" ;; S19: ""When one animal eats another, only a small part of that food's energy gets stored in the eater's body. What happens to all the rest of it?""",stock-and-flow model,stock-and-flow model (slide 9),Teacher reference > Teacher Prep > Day divider > Bellringer > Content/Explanation > Content/Explanation > Content/Explanation > Critical Aspect question > Stock-and-flow model > Contrast Set > Explanation > Build a Rule > Pattern Break > 3-Tier Question > Response slide > Activity > Activity > Day divider > Critical Aspect question > Contrast Set > Build a Rule > Pattern Break > 3-Tier Question > Response slide > Activity > Response slide (What if) > Optional challenge > Relates to me > Concept Bank > Day divider > Closing checklist > Links slide > Image credits,absent,,0/7,no,,none,yes,yes,lists only,clean,HS-LS2-3; HS-LS2-4
▶ LIVE — Cycle 04 — Cycles of Matter_ The Carbon Cycle.pptx,Cycle 04 — Cycles of Matter_ The Carbon Cycle (Unit 1),LIVE export,4,29,2026-08-22 11:44:25,1225648,"Carbon moves from the air into living things | Matter cycles, energy does not",2,"Carbon moves from the air into living things: 5/5 [Critical Aspect question, Contrast Set, Build a Rule, Pattern Break, 3-Tier Question] ;; Matter cycles, energy does not: 5/5 [Critical Aspect question, Contrast Set, Build a Rule, Pattern Break, 3-Tier Question]",True,2,0,1,0,0,3,3,3,True,,1,10,16,0,16,0,https://www.youtube.com/watch?v=NHqEthRCqQ4 ; https://phet.colorado.edu/en/simulations/greenhouse-effect ; https://www.biointeractive.org/classroom-resources/geologic-carbon-cycle ; https://gizmos.explorelearning.com/find-gizmos/lesson-info?resourceId=1061,9144000x6858000,True,True,Arial,,False,0000FF; EFDF85,False,,Teacher Prep; Concept Bank,True,S7: comparison ;; S17: comparison,"S7: ""A tree can gain hundreds of pounds of solid wood as it grows. But the soil it grows in barely loses any weight. So where is all that new wood actually coming from?"" ;; S17: ""Last cycle you learned that energy only flows one way and runs out at the top of the pyramid. Does the carbon in your food work the same way — used once and then gone forever?""",stock-and-flow model,stock-and-flow model (slide 8),Teacher reference > Day divider > Bellringer > Content/Explanation > Content/Explanation > Content/Explanation > Critical Aspect question > Stock-and-flow model > Contrast Set > Explanation > Build a Rule > Pattern Break > 3-Tier Question > Response slide > Activity > Day divider > Critical Aspect question > Contrast Set > Build a Rule > Pattern Break > 3-Tier Question > Response slide > Activity > Response slide (What if) > Optional challenge > Relates to me > Day divider > Links slide > Image credits,absent,,0/7,no,,none,yes,yes,absent,clean,HS-LS2-3; HS-LS2-4; HS-LS2-5
▶ LIVE — Cycle 04 — Cycles of Matter_ The Carbon Cycle — with Concept Bank.pptx,Cycle 04 — Cycles of Matter_ The Carbon Cycle (Unit 1),with-Concept-Bank,4,30,2026-08-29 15:55:28,1225731,"Carbon moves from the air into living things | Matter cycles, energy does not",2,"Carbon moves from the air into living things: 5/5 [Critical Aspect question, Contrast Set, Build a Rule, Pattern Break, 3-Tier Question] ;; Matter cycles, energy does not: 5/5 [Critical Aspect question, Contrast Set, Build a Rule, Pattern Break, 3-Tier Question]",True,2,0,1,1,0,3,3,3,True,,1,10,16,0,16,0,https://www.youtube.com/watch?v=NHqEthRCqQ4 ; https://phet.colorado.edu/en/simulations/greenhouse-effect ; https://www.biointeractive.org/classroom-resources/geologic-carbon-cycle ; https://gizmos.explorelearning.com/find-gizmos/lesson-info?resourceId=1061,9144000x6858000,True,True,Arial,,False,0000FF; EFDF85,False,,Teacher Prep,True,S7: comparison ;; S17: comparison,"S7: ""A tree can gain hundreds of pounds of solid wood as it grows. But the soil it grows in barely loses any weight. So where is all that new wood actually coming from?"" ;; S17: ""Last cycle you learned that energy only flows one way and runs out at the top of the pyramid. Does the carbon in your food work the same way — used once and then gone forever?""",stock-and-flow model,stock-and-flow model (slide 8),Teacher reference > Day divider > Bellringer > Content/Explanation > Content/Explanation > Content/Explanation > Critical Aspect question > Stock-and-flow model > Contrast Set > Explanation > Build a Rule > Pattern Break > 3-Tier Question > Response slide > Activity > Day divider > Critical Aspect question > Contrast Set > Build a Rule > Pattern Break > 3-Tier Question > Response slide > Activity > Response slide (What if) > Optional challenge > Relates to me > Concept Bank > Day divider > Links slide > Image credits,absent,,0/7,no,,none,yes,yes,lists only,clean,HS-LS2-3; HS-LS2-4; HS-LS2-5
▶ LIVE — Cycle 05 — Photosynthesis.pptx,Cycle 05 — Photosynthesis (Unit 1),LIVE export,5,31,2026-08-22 11:44:22,956353,"Light energy becomes chemical energy in glucose | A plant's material comes from air and water, not soil",2,"Light energy becomes chemical energy in glucose: 5/5 [Critical Aspect question, Contrast Set, Build a Rule, Pattern Break, 3-Tier Question] ;; A plant's material comes from air and water, not soil: 5/5 [Critical Aspect question, Contrast Set, Build a Rule, Pattern Break, 3-Tier Question]",True,2,0,1,0,1,3,3,3,True,,1,10,17,0,17,0,https://drive.google.com/file/d/1oiLh3D3NMCeQcehS7U3n7B0SCQNsBPZq/view ; https://drive.google.com/file/d/1Spjx6KJAo1ka2Ms-LfCnsHQmOOCbIZcx/view ; https://www.youtube.com/watch?v=CMiPYHNNg28 ; https://www.biointeractive.org/classroom-resources/photosynthesis,9144000x6858000,True,True,Arial,,False,EFDF85,False,,Concept Bank,False,S8: NO CONTRAST DEVICE ;; S18: NO CONTRAST DEVICE,"S8: ""The Sun's energy arrives as light. The plant's food is a sugar. What has to happen to that light for it to end up stored inside the food?"" ;; S18: ""About 400 years ago Van Helmont planted a 5 lb willow tree in 200 lb of dried soil and gave it only water for 5 years. The tree ended up weighing 169 lb — it gained 164 lb. The soil weighed about 199.9 lb; it lost only about 2 ounces. If almost none of the tree came from the soil, where did those pounds of wood, leaves, and sugar actually come from?""",stock-and-flow model,stock-and-flow model (slide 9),Teacher reference > Teacher Prep > Day divider > Bellringer > Content/Explanation > Content/Explanation > Content/Explanation > Critical Aspect question > Stock-and-flow model > Contrast Set > Explanation > Build a Rule > Pattern Break > 3-Tier Question > Response slide > Activity > Day divider > Critical Aspect question > Contrast Set > Build a Rule > Pattern Break > 3-Tier Question > Response slide > Activity > Response slide (What if) > Optional challenge > Relates to me > Day divider > Closing checklist > Links slide > Image credits,absent,,0/7,no,,none,yes,yes,absent,clean,HS-LS1-5
▶ LIVE — Cycle 05 — Photosynthesis — with Concept Bank.pptx,Cycle 05 — Photosynthesis (Unit 1),with-Concept-Bank,5,32,2026-08-29 15:55:28,956415,"Light energy becomes chemical energy in glucose | A plant's material comes from air and water, not soil",2,"Light energy becomes chemical energy in glucose: 5/5 [Critical Aspect question, Contrast Set, Build a Rule, Pattern Break, 3-Tier Question] ;; A plant's material comes from air and water, not soil: 5/5 [Critical Aspect question, Contrast Set, Build a Rule, Pattern Break, 3-Tier Question]",True,2,0,1,1,1,3,3,3,True,,1,10,17,0,17,0,https://drive.google.com/file/d/1oiLh3D3NMCeQcehS7U3n7B0SCQNsBPZq/view ; https://drive.google.com/file/d/1Spjx6KJAo1ka2Ms-LfCnsHQmOOCbIZcx/view ; https://www.youtube.com/watch?v=CMiPYHNNg28 ; https://www.biointeractive.org/classroom-resources/photosynthesis,9144000x6858000,True,True,Arial,,False,EFDF85,False,,,False,S8: NO CONTRAST DEVICE ;; S18: NO CONTRAST DEVICE,"S8: ""The Sun's energy arrives as light. The plant's food is a sugar. What has to happen to that light for it to end up stored inside the food?"" ;; S18: ""About 400 years ago Van Helmont planted a 5 lb willow tree in 200 lb of dried soil and gave it only water for 5 years. The tree ended up weighing 169 lb — it gained 164 lb. The soil weighed about 199.9 lb; it lost only about 2 ounces. If almost none of the tree came from the soil, where did those pounds of wood, leaves, and sugar actually come from?""",stock-and-flow model,stock-and-flow model (slide 9),Teacher reference > Teacher Prep > Day divider > Bellringer > Content/Explanation > Content/Explanation > Content/Explanation > Critical Aspect question > Stock-and-flow model > Contrast Set > Explanation > Build a Rule > Pattern Break > 3-Tier Question > Response slide > Activity > Day divider > Critical Aspect question > Contrast Set > Build a Rule > Pattern Break > 3-Tier Question > Response slide > Activity > Response slide (What if) > Optional challenge > Relates to me > Concept Bank > Day divider > Closing checklist > Links slide > Image credits,absent,,0/7,no,,none,yes,yes,lists only,clean,HS-LS1-5
▶ LIVE — Cycle 06 — Cellular Respiration & Fermentation.pptx,Cycle 06 — Cellular Respiration & Fermentation (Unit 1),LIVE export,6,32,2026-08-22 11:44:01,704004,Releasing the energy in glucose | Oxygen and how much ATP you get,2,"Releasing the energy in glucose: 5/5 [Critical Aspect question, Contrast Set, Build a Rule, Pattern Break, 3-Tier Question] ;; Oxygen and how much ATP you get: 5/5 [Critical Aspect question, Contrast Set, Build a Rule, Pattern Break, 3-Tier Question]",True,2,0,1,0,1,3,3,3,True,,1,11,24,0,24,0,https://www.youtube.com/watch?v=eJ9Zjc-jdys ; https://www.youtube.com/watch?v=YbdkbCU20_M ; https://www.biointeractive.org/classroom-resources/citric-acid-cycle ; https://gizmos.explorelearning.com/find-gizmos/lesson-info?resourceId=455,9144000x6858000,True,False,Arial; Calibri,Calibri,False,EFDF85,False,,Concept Bank,True,S10: comparison ;; S20: comparison,"S10: ""A flame and a cell both break down glucose, and both release its energy. What is different about HOW a cell does it?"" ;; S20: ""Breaking glucose the FIRST little bit does not need oxygen at all — that first step is called glycolysis. Two cells now break down the exact same glucose. One has oxygen, one does not. What makes their energy payoff so different?""",stock-and-flow model,stock-and-flow model (slide 11),Teacher reference > Teacher reference > Teacher Prep > Day divider > Teacher reference > Bellringer > Content/Explanation > Content/Explanation > Content/Explanation > Critical Aspect question > Stock-and-flow model > Contrast Set > Explanation > Build a Rule > Pattern Break > 3-Tier Question > Response slide > Activity > Day divider > Critical Aspect question > Contrast Set > Build a Rule > Pattern Break > 3-Tier Question > Response slide > Activity > Response slide (What if) > Optional challenge > Relates to me > Day divider > Links slide > Image credits,absent,,0/7,no,,none,yes,yes,absent,slides 13,HS-LS1-7
