cycle,file,status,applied,skipped,warnings,placeholders,flagged_slides,output
1,▶ LIVE — Cycle 01 — Lab Safety (VT).pptx,REFUSED,,"format tokens (§13): non-Arial fonts: Calibri; Overlock ;; format tokens (§13): off-palette text colors: 000000; 17365D; 1D1B10; 1E1C11; 7030A0; 999999; D68910; D9383A; F9F6FC ;; refused rather than patched. Re-run with --format-gate geometry to apply anyway, which records the debt instead of hiding it.",,0,,
1,▶ LIVE — Cycle01_Day 1.pptx,REFUSED,,"format tokens (§13): non-Arial fonts: Calibri; Inter; Inter ExtraBold ;; format tokens (§13): off-palette text colors: 1A202C; 2D3748; 4A5568; 718096 ;; refused rather than patched. Re-run with --format-gate geometry to apply anyway, which records the debt instead of hiding it.",,0,,
2,▶ LIVE — Cycle 02 — Ecosystems & Feeding Relationships (VT deck).pptx,would change (dry run),"teacher note slide inserted at position 2, carrying the seven declarations; 3 left for Katherine",relating prompt: no Concept Bank slide in this deck (build_concept_banks.py has to run first),"move-1 S7: inventory says 'comparison', independent check says 'NO CONTRAST DEVICE'",3,,/Users/katherinevonduyke/deck_work/exports/Cycle 02 — Ecosystems & Feeding Relationships (Unit 1)/▶ LIVE — Cycle 02 — Ecosystems & Feeding Relationships (VT deck) — with 2026-08-29 changes.pptx
2,▶ LIVE — Cycle 02 — Ecosystems & Feeding Relationships (VT deck) — with Concept Bank.pptx,would change (dry run),"relating prompt appended to Concept Bank slide 27 (co-presence is the precondition, not the achievement) ;; teacher note slide inserted at position 2, carrying the seven declarations; 3 left for Katherine",,"move-1 S7: inventory says 'comparison', independent check says 'NO CONTRAST DEVICE' ;; teacher note body set to 11pt (from 12pt) so the seven declarations fit on one slide",3,,/Users/katherinevonduyke/deck_work/exports/Cycle 02 — Ecosystems & Feeding Relationships (Unit 1)/▶ LIVE — Cycle 02 — Ecosystems & Feeding Relationships (VT deck) — with Concept Bank — with 2026-08-29 changes.pptx
3,▶ LIVE — Cycle 03 — Energy Flow & Trophic Pyramids.pptx,REFUSED,,"format tokens (§13): non-Arial fonts: Inter; Inter ExtraBold; Inter Medium ;; refused rather than patched. Re-run with --format-gate geometry to apply anyway, which records the debt instead of hiding it.",,0,,
3,▶ LIVE — Cycle 03 — Energy Flow & Trophic Pyramids — with Concept Bank.pptx,REFUSED,,"format tokens (§13): non-Arial fonts: Inter; Inter ExtraBold; Inter Medium ;; refused rather than patched. Re-run with --format-gate geometry to apply anyway, which records the debt instead of hiding it.",,0,,
4,▶ LIVE — Cycle 04 — Cycles of Matter_ The Carbon Cycle.pptx,REFUSED,,"format tokens (§13): off-palette text colors: 0000FF ;; refused rather than patched. Re-run with --format-gate geometry to apply anyway, which records the debt instead of hiding it.",,0,,
4,▶ LIVE — Cycle 04 — Cycles of Matter_ The Carbon Cycle — with Concept Bank.pptx,REFUSED,,"format tokens (§13): off-palette text colors: 0000FF ;; refused rather than patched. Re-run with --format-gate geometry to apply anyway, which records the debt instead of hiding it.",,0,,
5,▶ LIVE — Cycle 05 — Photosynthesis.pptx,would change (dry run),"teacher note slide inserted at position 3, carrying the seven declarations; 3 left for Katherine",relating prompt: no Concept Bank slide in this deck (build_concept_banks.py has to run first),teacher note body set to 11pt (from 12pt) so the seven declarations fit on one slide,3,S8 move-1 carries no difference ;; S18 move-1 carries no difference,/Users/katherinevonduyke/deck_work/exports/Cycle 05 — Photosynthesis (Unit 1)/▶ LIVE — Cycle 05 — Photosynthesis — with 2026-08-29 changes.pptx
5,▶ LIVE — Cycle 05 — Photosynthesis — with Concept Bank.pptx,would change (dry run),"relating prompt appended to Concept Bank slide 28 (co-presence is the precondition, not the achievement) ;; teacher note slide inserted at position 3, carrying the seven declarations; 3 left for Katherine",,teacher note body set to 11pt (from 12pt) so the seven declarations fit on one slide,3,S8 move-1 carries no difference ;; S18 move-1 carries no difference,/Users/katherinevonduyke/deck_work/exports/Cycle 05 — Photosynthesis (Unit 1)/▶ LIVE — Cycle 05 — Photosynthesis — with Concept Bank — with 2026-08-29 changes.pptx
6,▶ LIVE — Cycle 06 — Cellular Respiration & Fermentation.pptx,REFUSED,,"format tokens (§13): non-Arial fonts: Calibri ;; refused rather than patched. Re-run with --format-gate geometry to apply anyway, which records the debt instead of hiding it.",,0,,
6,▶ LIVE — Cycle 06 — Cellular Respiration & Fermentation — with Concept Bank.pptx,REFUSED,,"format tokens (§13): non-Arial fonts: Calibri ;; refused rather than patched. Re-run with --format-gate geometry to apply anyway, which records the debt instead of hiding it.",,0,,
8,▶ LIVE — Cycle 08 — Cells & Organelles.pptx,would change (dry run),"teacher note slide inserted at position 3, carrying the seven declarations; 3 left for Katherine",relating prompt: no Concept Bank slide in this deck (build_concept_banks.py has to run first),"move-1 S17: inventory says 'comparison', independent check says 'NO CONTRAST DEVICE'",3,,/Users/katherinevonduyke/deck_work/exports/Cycle 08 — Cells & Organelles (Unit 2)/▶ LIVE — Cycle 08 — Cells & Organelles — with 2026-08-29 changes.pptx
8,▶ LIVE — Cycle 08 — Cells & Organelles — with Concept Bank.pptx,would change (dry run),"relating prompt appended to Concept Bank slide 28 (co-presence is the precondition, not the achievement) ;; teacher note slide inserted at position 3, carrying the seven declarations; 3 left for Katherine",,"move-1 S17: inventory says 'comparison', independent check says 'NO CONTRAST DEVICE'",3,,/Users/katherinevonduyke/deck_work/exports/Cycle 08 — Cells & Organelles (Unit 2)/▶ LIVE — Cycle 08 — Cells & Organelles — with Concept Bank — with 2026-08-29 changes.pptx
9,▶ LIVE — Cycle 09 (review) — Cell Membrane & Transport.pptx,REFUSED,,"format tokens (§13): non-Arial fonts: Calibri ;; format tokens (§13): off-palette text colors: 000000; 1A1A1A ;; refused rather than patched. Re-run with --format-gate geometry to apply anyway, which records the debt instead of hiding it.",,0,,
9,▶ LIVE — Cycle 09 (review) — Cell Membrane & Transport — with Concept Bank.pptx,REFUSED,,"format tokens (§13): non-Arial fonts: Calibri ;; format tokens (§13): off-palette text colors: 000000; 1A1A1A ;; refused rather than patched. Re-run with --format-gate geometry to apply anyway, which records the debt instead of hiding it.",,0,,
10,▶ LIVE — Cycle 10 — Enzymes.pptx,would change (dry run),"teacher note slide inserted at position 3, carrying the seven declarations; 3 left for Katherine",relating prompt: no Concept Bank slide in this deck (build_concept_banks.py has to run first),"move-1 S18: inventory says 'comparison', independent check says 'NO CONTRAST DEVICE'",3,,/Users/katherinevonduyke/deck_work/exports/Cycle 10 — Enzymes (Unit 2)/▶ LIVE — Cycle 10 — Enzymes — with 2026-08-29 changes.pptx
10,▶ LIVE — Cycle 10 — Enzymes — with Concept Bank.pptx,would change (dry run),"relating prompt appended to Concept Bank slide 31 (co-presence is the precondition, not the achievement) ;; teacher note slide inserted at position 3, carrying the seven declarations; 3 left for Katherine",,"move-1 S18: inventory says 'comparison', independent check says 'NO CONTRAST DEVICE'",3,,/Users/katherinevonduyke/deck_work/exports/Cycle 10 — Enzymes (Unit 2)/▶ LIVE — Cycle 10 — Enzymes — with Concept Bank — with 2026-08-29 changes.pptx
11,▶ LIVE — Cycle 11 — The Cell Cycle to Cancer.pptx,REFUSED,,"format tokens (§13): non-Arial fonts: Calibri ;; refused rather than patched. Re-run with --format-gate geometry to apply anyway, which records the debt instead of hiding it.",,0,,
11,▶ LIVE — Cycle 11 — The Cell Cycle to Cancer — with Concept Bank.pptx,REFUSED,,"format tokens (§13): non-Arial fonts: Calibri ;; refused rather than patched. Re-run with --format-gate geometry to apply anyway, which records the debt instead of hiding it.",,0,,
12,"▶ LIVE — Cycle 12 — The Process of Meiosis (VT deck, rebuilt).pptx",REFUSED,,"format tokens (§13): non-Arial fonts: Calibri ;; refused rather than patched. Re-run with --format-gate geometry to apply anyway, which records the debt instead of hiding it.",,0,,
12,"Cycle 12 — Meiosis (VT deck, rebuilt) — with Concept Bank.pptx",REFUSED,,"format tokens (§13): non-Arial fonts: Calibri ;; refused rather than patched. Re-run with --format-gate geometry to apply anyway, which records the debt instead of hiding it.",,0,,
13,▶ LIVE — Cycle 13— Mendelian Genetics.pptx,REFUSED,,"format tokens (§13): non-Arial fonts: Calibri ;; format tokens (§13): off-palette text colors: 999999 ;; refused rather than patched. Re-run with --format-gate geometry to apply anyway, which records the debt instead of hiding it.",,0,,
13,▶ LIVE — Cycle 13— Mendelian Genetics — with Concept Bank.pptx,REFUSED,,"format tokens (§13): non-Arial fonts: Calibri ;; format tokens (§13): off-palette text colors: 999999 ;; refused rather than patched. Re-run with --format-gate geometry to apply anyway, which records the debt instead of hiding it.",,0,,
14,▶ LIVE — Cycle 14 — DNA Structure & Replication.pptx,REFUSED,,"format tokens (§13): non-Arial fonts: Calibri ;; format tokens (§13): off-palette text colors: 999999 ;; refused rather than patched. Re-run with --format-gate geometry to apply anyway, which records the debt instead of hiding it.",,0,,
14,▶ LIVE — Cycle 14 — DNA Structure & Replication — with Concept Bank.pptx,REFUSED,,"format tokens (§13): non-Arial fonts: Calibri ;; format tokens (§13): off-palette text colors: 999999 ;; refused rather than patched. Re-run with --format-gate geometry to apply anyway, which records the debt instead of hiding it.",,0,,
17,▶ LIVE — Cycle 17 — Darwin & Evidence of Evolution.pptx,would change (dry run),"teacher note slide inserted at position 3, carrying the seven declarations; 3 left for Katherine",relating prompt: no Concept Bank slide in this deck (build_concept_banks.py has to run first),"move-1 S8: inventory says 'change condition, comparison', independent check says 'NO CONTRAST DEVICE'",3,,/Users/katherinevonduyke/deck_work/exports/Cycle 17 — Darwin & Evidence of Evolution (Unit 4)/▶ LIVE — Cycle 17 — Darwin & Evidence of Evolution — with 2026-08-29 changes.pptx
17,▶ LIVE — Cycle 17 — Darwin & Evidence of Evolution — with Concept Bank.pptx,would change (dry run),"relating prompt appended to Concept Bank slide 29 (co-presence is the precondition, not the achievement) ;; teacher note slide inserted at position 3, carrying the seven declarations; 3 left for Katherine",,"move-1 S8: inventory says 'change condition, comparison', independent check says 'NO CONTRAST DEVICE'",3,,/Users/katherinevonduyke/deck_work/exports/Cycle 17 — Darwin & Evidence of Evolution (Unit 4)/▶ LIVE — Cycle 17 — Darwin & Evidence of Evolution — with Concept Bank — with 2026-08-29 changes.pptx
18,▶ LIVE — Cycle 18 — Natural Selection & Adaptation.pptx,would change (dry run),"teacher note slide inserted at position 3, carrying the seven declarations; 3 left for Katherine",relating prompt: no Concept Bank slide in this deck (build_concept_banks.py has to run first),"move-1 S8: inventory says 'change condition, comparison', independent check says 'NO CONTRAST DEVICE' ;; move-1 S19: inventory says 'comparison', independent check says 'NO CONTRAST DEVICE'",3,,/Users/katherinevonduyke/deck_work/exports/Cycle 18 — Natural Selection & Adaptation (Unit 4)/▶ LIVE — Cycle 18 — Natural Selection & Adaptation — with 2026-08-29 changes.pptx
18,▶ LIVE — Cycle 18 — Natural Selection & Adaptation — with Concept Bank.pptx,would change (dry run),"relating prompt appended to Concept Bank slide 30 (co-presence is the precondition, not the achievement) ;; teacher note slide inserted at position 3, carrying the seven declarations; 3 left for Katherine",,"move-1 S8: inventory says 'change condition, comparison', independent check says 'NO CONTRAST DEVICE' ;; move-1 S19: inventory says 'comparison', independent check says 'NO CONTRAST DEVICE'",3,,/Users/katherinevonduyke/deck_work/exports/Cycle 18 — Natural Selection & Adaptation (Unit 4)/▶ LIVE — Cycle 18 — Natural Selection & Adaptation — with Concept Bank — with 2026-08-29 changes.pptx
19,▶ LIVE — Cycle 19 — Speciation & Biodiversity.pptx,REFUSED,,"format tokens (§13): off-palette text colors: 333333 ;; refused rather than patched. Re-run with --format-gate geometry to apply anyway, which records the debt instead of hiding it.",,0,,
19,▶ LIVE — Cycle 19 — Speciation & Biodiversity — with Concept Bank.pptx,REFUSED,,"format tokens (§13): off-palette text colors: 333333 ;; refused rather than patched. Re-run with --format-gate geometry to apply anyway, which records the debt instead of hiding it.",,0,,
20,▶ LIVE — Cycle 20 — Human Impact Capstone.pptx,would change (dry run),"teacher note slide inserted at position 3, carrying the seven declarations; 3 left for Katherine",relating prompt: no Concept Bank slide in this deck (build_concept_banks.py has to run first),"move-1 S8: inventory says 'comparison', independent check says 'NO CONTRAST DEVICE' ;; move-1 S18: inventory says 'comparison', independent check says 'NO CONTRAST DEVICE'",3,,/Users/katherinevonduyke/deck_work/exports/Cycle 20 — Human Impact (Capstone) (Unit 4)/▶ LIVE — Cycle 20 — Human Impact Capstone — with 2026-08-29 changes.pptx
20,▶ LIVE — Cycle 20 — Human Impact Capstone — with Concept Bank.pptx,would change (dry run),"relating prompt appended to Concept Bank slide 28 (co-presence is the precondition, not the achievement) ;; teacher note slide inserted at position 3, carrying the seven declarations; 3 left for Katherine",,"move-1 S8: inventory says 'comparison', independent check says 'NO CONTRAST DEVICE' ;; move-1 S18: inventory says 'comparison', independent check says 'NO CONTRAST DEVICE'",3,,/Users/katherinevonduyke/deck_work/exports/Cycle 20 — Human Impact (Capstone) (Unit 4)/▶ LIVE — Cycle 20 — Human Impact Capstone — with Concept Bank — with 2026-08-29 changes.pptx
7a,▶ LIVE — Cycle 07a — Population Ecology.pptx,would change (dry run),"teacher note slide inserted at position 3, carrying the seven declarations; 3 left for Katherine",relating prompt: no Concept Bank slide in this deck (build_concept_banks.py has to run first),"move-1 S18: inventory says 'comparison', independent check says 'NO CONTRAST DEVICE'",3,S8 move-1 carries no difference,/Users/katherinevonduyke/deck_work/exports/Cycle 07 — Ecosystem Dynamics_ Populations & Succession (Unit 1)/▶ LIVE — Cycle 07a — Population Ecology — with 2026-08-29 changes.pptx
7a,▶ LIVE — Cycle 07a — Population Ecology — with Concept Bank.pptx,would change (dry run),"relating prompt appended to Concept Bank slide 29 (co-presence is the precondition, not the achievement) ;; teacher note slide inserted at position 3, carrying the seven declarations; 3 left for Katherine",,"move-1 S18: inventory says 'comparison', independent check says 'NO CONTRAST DEVICE'",3,S8 move-1 carries no difference,/Users/katherinevonduyke/deck_work/exports/Cycle 07 — Ecosystem Dynamics_ Populations & Succession (Unit 1)/▶ LIVE — Cycle 07a — Population Ecology — with Concept Bank — with 2026-08-29 changes.pptx
