cycle,deck,critical_aspects,n_critical_aspects,coordination_structures,coordination_detail,reason_for_none,what_if_present,what_if_individual_written,ngss_codes,source_file
1,Lab Safety,what a safety symbol is really telling you,1,none,,,yes,unclear,,▶ LIVE — Cycle 01 — Lab Safety (VT).pptx
2,Ecosystems & Feeding Relationships,Energy flow through trophic levels | Symbiosis and species relationships,2,stock-and-flow model,stock-and-flow model (slide 8),,yes,yes,HS-LS2-1; HS-LS2-2,▶ LIVE — Cycle 02 — Ecosystems & Feeding Relationships (VT deck) — with Concept Bank.pptx
3,Energy Flow & Trophic Pyramids,Producers are the only entry point for energy | Only ~10% of energy passes to the next level,2,stock-and-flow model,stock-and-flow model (slide 9),,yes,yes,HS-LS2-3; HS-LS2-4,▶ LIVE — Cycle 03 — Energy Flow & Trophic Pyramids — with Concept Bank.pptx
4,Cycles of Matter_ The Carbon Cycle,"Carbon moves from the air into living things | Matter cycles, energy does not",2,stock-and-flow model,stock-and-flow model (slide 8),,yes,yes,HS-LS2-3; HS-LS2-4; HS-LS2-5,▶ LIVE — Cycle 04 — Cycles of Matter_ The Carbon Cycle — with Concept Bank.pptx
5,Photosynthesis,"Light energy becomes chemical energy in glucose | A plant's material comes from air and water, not soil",2,stock-and-flow model,stock-and-flow model (slide 9),,yes,yes,HS-LS1-5,▶ LIVE — Cycle 05 — Photosynthesis — with Concept Bank.pptx
6,Cellular Respiration & Fermentation,Releasing the energy in glucose | Oxygen and how much ATP you get,2,stock-and-flow model,stock-and-flow model (slide 11),,yes,yes,HS-LS1-7,▶ LIVE — Cycle 06 — Cellular Respiration & Fermentation — with Concept Bank.pptx
7a,Population Ecology,Why growth bends — J vs S | What sets carrying capacity,2,stock-and-flow model,stock-and-flow model (slide 9),,yes,yes,HS-LS2-1; HS-LS2-2,▶ LIVE — Cycle 07a — Population Ecology — with Concept Bank.pptx
7b,Populations & Succession,Where succession is headed | What pioneer species do,2,stock-and-flow model,stock-and-flow model (slide 9),,yes,yes,HS-LS2-1; HS-LS2-2; HS-LS2-6,▶ LIVE — Cycle 07b — Populations & Succession — with Concept Bank.pptx
8,Cells & Organelles,Structure fits function | Plant cell vs animal cell,2,none,,,yes,yes,HS-LS1-1; HS-LS1-2,▶ LIVE — Cycle 08 — Cells & Organelles — with Concept Bank.pptx
9,(review) — Cell Membrane & Transport,Selective permeability | Bilayer structure,2,stock-and-flow model,stock-and-flow model (slide 9),,yes,yes,HS-LS1-2; HS-LS1-3,▶ LIVE — Cycle 09 (review) — Cell Membrane & Transport — with Concept Bank.pptx
10,Enzymes,"Enzymes lower activation energy and aren't used up | Shape, specificity, and denaturing",2,stock-and-flow model,stock-and-flow model (slide 9),,yes,yes,HS-LS1-6,▶ LIVE — Cycle 10 — Enzymes — with Concept Bank.pptx
11,The Cell Cycle to Cancer,Checkpoints control the cycle | Cancer = regulation failure,2,stock-and-flow model,stock-and-flow model (slide 9),,yes,yes,HS-LS1-4,▶ LIVE — Cycle 11 — The Cell Cycle to Cancer — with Concept Bank.pptx
12,Meiosis,"Two divisions, two different separations | One diploid cell becomes four unique haploid cells",2,none,,,yes,yes,HS-LS3-1; HS-LS3-2,"Cycle 12 — Meiosis (VT deck, rebuilt) — with Concept Bank.pptx"
13,Mendelian Genetics,Genotype vs. phenotype | One allele per parent (chance),2,none,,,yes,yes,HS-LS3-1; HS-LS3-3,▶ LIVE — Cycle 13— Mendelian Genetics — with Concept Bank.pptx
14,DNA Structure & Replication,Each strand is a template | Semiconservative replication,2,none,,,yes,yes,HS-LS1-1; HS-LS3-1,▶ LIVE — Cycle 14 — DNA Structure & Replication — with Concept Bank.pptx
15a,Genes & Chromosomes,A chromosome carries many genes | Alleles are versions of the same gene,2,none,,,yes,yes,HS-LS3-1,▶ LIVE — Cycle 15a — Genes & Chromosomes — with Concept Bank.pptx
15b,Protein Synthesis,Transcription | Translation,2,none,,,yes,yes,HS-LS1-1,▶ LIVE — Cycle 15b — Protein Synthesis — with Concept Bank.pptx
16a,Stem Cells and Differentiation,Differentiation | Potency,2,none,,,yes,yes,HS-LS1-4; HS-LS3-1,▶ LIVE — Cycle 16a — Stem Cells and Differentiation — with Concept Bank.pptx
16b,Genetic Mutations,Point mutation vs. frameshift | Silent vs. harmful,2,none,,,yes,yes,HS-LS1-1; HS-LS3-2,▶ LIVE — Cycle 16b — Genetic Mutations — with Concept Bank.pptx
16c,Mutations and Genetic Disorders,Somatic vs. germline | Gene vs. chromosome,2,none,,,yes,yes,HS-LS3-1; HS-LS3-2,▶ LIVE — Cycle 16c — Mutations and Genetic Disorders — with Concept Bank.pptx
16d,Biotechnology,Selective breeding vs. genetic engineering | Recombinant DNA,2,none,,,yes,yes,HS-LS1-1; HS-LS3-1,▶ LIVE — Cycle 16d — Biotechnology — with Concept Bank.pptx
17,Darwin & Evidence of Evolution,Fossils record change over time | Independent lines of evidence,2,none,,,yes,yes,HS-LS4-1,▶ LIVE — Cycle 17 — Darwin & Evidence of Evolution — with Concept Bank.pptx
18,Natural Selection & Adaptation,Variation is the raw material for selection | The environment decides which traits survive,2,stock-and-flow model,stock-and-flow model (slide 9),,yes,yes,HS-LS4-2; HS-LS4-3,▶ LIVE — Cycle 18 — Natural Selection & Adaptation — with Concept Bank.pptx
19,Speciation & Biodiversity,How new species form | What makes a grouping useful,2,stock-and-flow model,stock-and-flow model (slide 9),,yes,yes,HS-LS4-4; HS-LS4-5,▶ LIVE — Cycle 19 — Speciation & Biodiversity — with Concept Bank.pptx
20,Human Impact Capstone,Renewable vs. nonrenewable | Non-native vs. invasive,2,stock-and-flow model,stock-and-flow model (slide 9),,yes,yes,HS-LS2-7; HS-LS4-5; HS-LS4-6,▶ LIVE — Cycle 20 — Human Impact Capstone — with Concept Bank.pptx
