cycle,file,status,applied,skipped,warnings,placeholders,flagged_slides,output
1,▶ LIVE — Cycle 01 — Lab Safety (VT).pptx,would change (dry run),"teacher note slide inserted at position 2, carrying the seven declarations; 3 left for Katherine",relating prompt: no Concept Bank slide in this deck (build_concept_banks.py has to run first),"pre-existing format debt, NOT patched: non-Arial fonts: Calibri; Overlock ;; pre-existing format debt, NOT patched: off-palette text colors: 000000; 17365D; 1D1B10; 1E1C11; 7030A0; 999999; D68910; D9383A; F9F6FC",3,,/Users/katherinevonduyke/deck_work/exports/Cycle 01 — Course Launch & Lab Safety (Unit 1)/▶ LIVE — Cycle 01 — Lab Safety (VT) — with 2026-08-29 changes.pptx
1,▶ LIVE — Cycle01_Day 1.pptx,would change (dry run),"teacher note slide inserted at position 2, carrying the seven declarations; 3 left for Katherine",relating prompt: no Concept Bank slide in this deck (build_concept_banks.py has to run first),"pre-existing format debt, NOT patched: non-Arial fonts: Calibri; Inter; Inter ExtraBold ;; pre-existing format debt, NOT patched: off-palette text colors: 1A202C; 2D3748; 4A5568; 718096",3,- move-1 missing,/Users/katherinevonduyke/deck_work/exports/Cycle 01 — Course Launch & Lab Safety (Unit 1)/▶ LIVE — Cycle01_Day 1 — with 2026-08-29 changes.pptx
2,▶ LIVE — Cycle 02 — Ecosystems & Feeding Relationships (VT deck).pptx,would change (dry run),"teacher note slide inserted at position 2, carrying the seven declarations; 3 left for Katherine",relating prompt: no Concept Bank slide in this deck (build_concept_banks.py has to run first),"move-1 S7: inventory says 'comparison', independent check says 'NO CONTRAST DEVICE'",3,,/Users/katherinevonduyke/deck_work/exports/Cycle 02 — Ecosystems & Feeding Relationships (Unit 1)/▶ LIVE — Cycle 02 — Ecosystems & Feeding Relationships (VT deck) — with 2026-08-29 changes.pptx
2,▶ LIVE — Cycle 02 — Ecosystems & Feeding Relationships (VT deck) — with Concept Bank.pptx,would change (dry run),"relating prompt appended to Concept Bank slide 27 (co-presence is the precondition, not the achievement) ;; teacher note slide inserted at position 2, carrying the seven declarations; 3 left for Katherine",,"move-1 S7: inventory says 'comparison', independent check says 'NO CONTRAST DEVICE' ;; teacher note body set to 11pt (from 12pt) so the seven declarations fit on one slide",3,,/Users/katherinevonduyke/deck_work/exports/Cycle 02 — Ecosystems & Feeding Relationships (Unit 1)/▶ LIVE — Cycle 02 — Ecosystems & Feeding Relationships (VT deck) — with Concept Bank — with 2026-08-29 changes.pptx
3,▶ LIVE — Cycle 03 — Energy Flow & Trophic Pyramids.pptx,would change (dry run),"teacher note slide inserted at position 3, carrying the seven declarations; 3 left for Katherine",relating prompt: no Concept Bank slide in this deck (build_concept_banks.py has to run first),"pre-existing format debt, NOT patched: non-Arial fonts: Inter; Inter ExtraBold; Inter Medium",3,S8 move-1 carries no difference ;; S19 move-1 carries no difference,/Users/katherinevonduyke/deck_work/exports/Cycle 03 — Energy Flow & Trophic Pyramids (Unit 1)/▶ LIVE — Cycle 03 — Energy Flow & Trophic Pyramids — with 2026-08-29 changes.pptx
3,▶ LIVE — Cycle 03 — Energy Flow & Trophic Pyramids — with Concept Bank.pptx,would change (dry run),"relating prompt appended to Concept Bank slide 29 (co-presence is the precondition, not the achievement) ;; teacher note slide inserted at position 3, carrying the seven declarations; 3 left for Katherine",,"pre-existing format debt, NOT patched: non-Arial fonts: Inter; Inter ExtraBold; Inter Medium",3,S8 move-1 carries no difference ;; S19 move-1 carries no difference,/Users/katherinevonduyke/deck_work/exports/Cycle 03 — Energy Flow & Trophic Pyramids (Unit 1)/▶ LIVE — Cycle 03 — Energy Flow & Trophic Pyramids — with Concept Bank — with 2026-08-29 changes.pptx
4,▶ LIVE — Cycle 04 — Cycles of Matter_ The Carbon Cycle.pptx,would change (dry run),"teacher note slide inserted at position 2, carrying the seven declarations; 3 left for Katherine",relating prompt: no Concept Bank slide in this deck (build_concept_banks.py has to run first),"pre-existing format debt, NOT patched: off-palette text colors: 0000FF ;; move-1 S7: inventory says 'comparison', independent check says 'NO CONTRAST DEVICE' ;; move-1 S17: inventory says 'comparison', independent check says 'NO CONTRAST DEVICE'",3,,/Users/katherinevonduyke/deck_work/exports/Cycle 04 — Cycles of Matter_ The Carbon Cycle (Unit 1)/▶ LIVE — Cycle 04 — Cycles of Matter_ The Carbon Cycle — with 2026-08-29 changes.pptx
4,▶ LIVE — Cycle 04 — Cycles of Matter_ The Carbon Cycle — with Concept Bank.pptx,would change (dry run),"relating prompt appended to Concept Bank slide 27 (co-presence is the precondition, not the achievement) ;; teacher note slide inserted at position 2, carrying the seven declarations; 3 left for Katherine",,"pre-existing format debt, NOT patched: off-palette text colors: 0000FF ;; move-1 S7: inventory says 'comparison', independent check says 'NO CONTRAST DEVICE' ;; move-1 S17: inventory says 'comparison', independent check says 'NO CONTRAST DEVICE' ;; teacher note body set to 11pt (from 12pt) so the seven declarations fit on one slide",3,,/Users/katherinevonduyke/deck_work/exports/Cycle 04 — Cycles of Matter_ The Carbon Cycle (Unit 1)/▶ LIVE — Cycle 04 — Cycles of Matter_ The Carbon Cycle — with Concept Bank — with 2026-08-29 changes.pptx
5,▶ LIVE — Cycle 05 — Photosynthesis.pptx,would change (dry run),"teacher note slide inserted at position 3, carrying the seven declarations; 3 left for Katherine",relating prompt: no Concept Bank slide in this deck (build_concept_banks.py has to run first),teacher note body set to 11pt (from 12pt) so the seven declarations fit on one slide,3,S8 move-1 carries no difference ;; S18 move-1 carries no difference,/Users/katherinevonduyke/deck_work/exports/Cycle 05 — Photosynthesis (Unit 1)/▶ LIVE — Cycle 05 — Photosynthesis — with 2026-08-29 changes.pptx
5,▶ LIVE — Cycle 05 — Photosynthesis — with Concept Bank.pptx,would change (dry run),"relating prompt appended to Concept Bank slide 28 (co-presence is the precondition, not the achievement) ;; teacher note slide inserted at position 3, carrying the seven declarations; 3 left for Katherine",,teacher note body set to 11pt (from 12pt) so the seven declarations fit on one slide,3,S8 move-1 carries no difference ;; S18 move-1 carries no difference,/Users/katherinevonduyke/deck_work/exports/Cycle 05 — Photosynthesis (Unit 1)/▶ LIVE — Cycle 05 — Photosynthesis — with Concept Bank — with 2026-08-29 changes.pptx
