Quarter (bundle),Unit,Cycle,Lesson / deck,Activity,Supply,Qty per group,Groups per class,Number of classes,Total needed,Reusable / Consumable,Preparation,Storage,Safety,Approx cost (USD),Substitute,Store / purchasing link
Q1,Classifying Organisms (opening deck of the ecology arc),1,Classifying_Organisms_with_VT_inserts (legacy),Linnaean cup sort (lab stations),Plastic cups labeled with the 7 classification levels,7,8,1,56,Reusable,Write one level per cup (or tape printed labels); rubber-band each set of 7. One class set serves all classes and future years.,Rubber-banded sets in one labeled bin: Cycle 01,—,8,Index cards or paper strips in an envelope,LINK NEEDED (dollar store / grocery)
Q1,Classifying Organisms (opening deck of the ecology arc),1,Classifying_Organisms_with_VT_inserts (legacy),'What's in a Drop?' pond-dip lab,Printed pond-dip lab sheets (1 per student),4,8,3,96,Consumable,Print 1 per student (qty assumes 4 students per group). Reprint each year.,Hanging file: Cycle 01,—,0,School copier,http://www.microscopy-uk.org.uk/index-no-ads.html?http://www.microscopy-uk.org.uk/ponddip/
Q1,Classifying Organisms (opening deck of the ecology arc),1,Classifying_Organisms_with_VT_inserts (legacy),HHMI DNA-and-phylogeny Click and Learn,Printed HHMI student answer documents (1 per student),4,8,3,96,Consumable,Print 1 per student. The Click and Learn URL is not in the deck — LINK NEEDED (likely 'Creating Phylogenetic Trees from DNA Sequences').,Hanging file: Cycle 01,—,0,School copier,LINK NEEDED (biointeractive.org)
Q1,Classifying Organisms (opening deck of the ecology arc),1,Classifying_Organisms_with_VT_inserts (legacy),"Every cycle — sims, tank models, fiddles, deck work",Chromebooks / student devices (listed once; used in nearly every cycle),4,8,1,32,Reusable,School-provided 1:1 devices assumed. Where a cycle has a no-tech alternative it is named in the Ecology Unit Guide / Unit Agenda.,School device cart / 1:1 program,—,0,Shared devices or teacher projection,—
Q1,Ecosystems & Feeding Relationships (free unit),2,Cycle 02 (CORE),Two-day food-web build (Days 1–2),Pacific NW species card sets (printed),1,8,1,8,Reusable,Print one set per group on cardstock; laminate — the same sets serve all classes and are reused in Cycle 07. RIGHTS REVIEW NEEDED — identify the PDF's author before selling.,"Zip bags, one per group: Cycle 02",—,5,"Plain-paper sets, replaced yearly",https://drive.google.com/file/d/17heyT0Y6KVcezjak08wq7Zr8SSNaJyxg/view
Q1,Ecosystems & Feeding Relationships (free unit),2,Cycle 02 (CORE),Two-day food-web build (Days 1–2),Food-web sheets (large paper for the web),1,8,3,24,Consumable,One large sheet per group per class.,Flat stack: Cycle 02,—,4,Butcher paper or taped copy paper,LINK NEEDED (school supply)
Q1,Ecosystems & Feeding Relationships (free unit),2,Cycle 02 (CORE),Two-day food-web build (Days 1–2),Markers or pencils for arrows,4,8,1,32,Reusable,Any classroom markers.,General classroom stock,—,8,Existing classroom markers,LINK NEEDED
Q1,Energy Flow & Trophic Pyramids,3,Cycle 03 (CORE),Energy Flow Stations (Day 1),"Printed station cards (term/organism match, animal cards, process cards)",1,8,1,8,Reusable,"Print + laminate one set per station. Note: the deck lists Stations 1, 2, and 4 — no Station 3 — REVIEW WITH KATHERINE.",Zip bags by station: Cycle 03,—,4,"Plain-paper sets, replaced yearly",—
Q1,Energy Flow & Trophic Pyramids,3,Cycle 03 (CORE),Energy Flow Stations (Day 1),"Station checksheets (printed, 1 per student)",4,8,3,96,Consumable,Print 1 per student.,Hanging file: Cycle 03,—,0,School copier,https://docs.google.com/document/d/1FkT60NzXXldA0lXlneufTsGY_3IV5_mNdaXnYkdVsnY/edit
Q1,Energy Flow & Trophic Pyramids,3,Cycle 03 (CORE),Do the Energy Math (Day 2),Printed pyramid sheets,1,8,3,24,Consumable,One per group per class (or stack cards instead of sheets).,Hanging file: Cycle 03,—,0,School copier,—
Q1,Cycles of Matter: The Carbon Cycle,4,Cycle 04 (CORE),"Journey through the carbon cycle (dice-and-stations game, Day 2)",Dice (one per station),1,8,1,8,Reusable,One die per station (stations ≈ groups).,Small box: Cycle 04,—,5,Phone/Chromebook die app or number spinner,LINK NEEDED
Q1,Cycles of Matter: The Carbon Cycle,4,Cycle 04 (CORE),"Journey through the carbon cycle (dice-and-stations game, Day 2)",Printed carbon-station cards / signs,1,8,1,8,Reusable,One sign per station; laminate once.,Folder: Cycle 04,—,2,Plain-paper signs,LINK NEEDED (NAGT Carbon Cycle Game — deck holds only nagt.org)
Q1,Cycles of Matter: The Carbon Cycle,4,Cycle 04 (CORE),"Journey through the carbon cycle (dice-and-stations game, Day 2)",Student carbon-journey log sheets (1 per student),4,8,3,96,Consumable,Each student plays one carbon atom and logs its moves.,Hanging file: Cycle 04,—,0,School copier,—
Q1,Photosynthesis,5,Cycle 05 (CORE),Leaf-Disk Float Lab (Day 1),Baking soda (1 box covers all classes),1,1,1,1,Consumable,Make fresh dilute solution day-of. Per-class item: groups set to 1.,Supply shelf: wet-lab bin,—,1,—,LINK NEEDED (grocery)
Q1,Photosynthesis,5,Cycle 05 (CORE),Leaf-Disk Float Lab (Day 1),"Liquid dish soap (1 bottle, lasts the year)",1,1,1,1,Consumable,A drop per solution batch. Per-class item: groups set to 1.,Supply shelf: wet-lab bin,—,3,—,LINK NEEDED (grocery)
Q1,Photosynthesis,5,Cycle 05 (CORE),Leaf-Disk Float Lab (Day 1),Fresh spinach leaves (2 bags cover all classes),2,1,1,2,Consumable,Buy 1–2 days before; refrigerate — crisp leaves float best. Per-class item: groups set to 1.,Refrigerator until lab day,—,4,—,LINK NEEDED (grocery)
Q1,Photosynthesis,5,Cycle 05 (CORE),Leaf-Disk Float Lab (Day 1),"Hole punch (standard, single)",1,8,1,8,Reusable,Punches the leaf disks.,Wet-lab bin,—,16,Share 4 punches between 8 groups,LINK NEEDED
